R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,uniqueNetworkLocation,country,source,major,,,,,,,,
3,4,4,5,3,5,4,4,5,5,5,4,4,5,5,4,4,3,4,5,3,5,5,3,4,4,5,4,5,4,5,4,3,4,5,4,5,4,4,5,4,4,4,4,3,5,4,4,3,173,113,6,4,7,3,6,5,6,1,5,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,1,1,34,1,7,1,5,2,3,2,1,US,0,,,,,,,,,
2,2,3,4,3,4,3,3,2,5,4,4,3,3,3,5,3,4,4,4,3,3,5,3,4,5,4,4,4,5,4,3,4,5,4,3,4,3,5,5,3,3,4,4,3,3,3,3,3,1564,177,6,4,5,2,6,2,5,7,2,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,1,1,20,1,7,5,1,2,1,2,1,SG,1,,,,,,,,,
2,3,4,3,4,4,4,4,4,3,4,3,4,3,3,3,1,2,3,3,3,3,3,3,3,5,4,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,4,5,5,513,497,789,7,2,7,1,5,5,6,1,7,2,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,1,1,2,31,1,6,1,3,1,1,6,2,KE,0,,,,,,,,,
3,1,1,1,1,1,2,1,3,3,2,4,3,2,1,1,5,3,3,5,4,5,3,3,2,4,5,4,5,3,3,3,2,3,3,4,3,3,5,3,4,3,3,5,4,4,4,3,2,332,316,6,5,7,7,6,6,7,6,4,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,1,1,23,2,7,1,3,2,1,3,1,US,1,accounting,,,,,,,,
3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,0,1,1,3,4,5,3,1,5,1,3,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,149,137,4,2,7,5,6,6,7,1,6,4,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,2,1,50,1,4,0,4,2,2,3,1,US,1,psychology,,,,,,,,
1,5,5,1,5,1,5,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,108,190,7,1,7,1,7,1,7,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,35,1,12,1,4,1,3,3,1,US,0,,,,,,,,,
4,1,1,5,1,3,1,1,3,1,1,2,4,1,3,1,4,5,5,0,5,3,5,5,5,3,3,5,4,4,3,4,1,2,2,1,3,3,2,3,5,4,4,3,5,4,3,1,17,563,630,0,7,6,2,7,2,6,1,5,2,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1,2,25,1,4,1,3,2,1,10,2,KE,0,,,,,,,,,
1,1,1,1,1,1,1,1,2,4,2,2,1,2,2,3,5,4,3,5,4,5,1,4,4,4,4,3,4,3,3,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,7,248,209,6,6,5,5,7,5,5,6,2,2,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,3,1,2,2,46,1,12,1,4,1,2,3,1,NL,0,music,,,,,,,,
5,1,1,2,1,1,1,1,5,1,1,3,4,4,5,1,3,3,4,3,4,1,4,4,5,4,3,3,4,5,5,4,3,3,3,3,3,4,3,3,4,4,4,2,3,1,2,3,6,230,183,7,6,7,2,7,6,7,2,7,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,1,21,1,4,1,3,2,1,3,1,US,2,Pre-Nursing,,,,,,,,
3,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,3,3,3,3,5,5,1,3,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,1,5,5,3,3,1,5,5,22,191,149,1,5,3,7,7,7,5,5,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,2,33,1,4,1,4,1,1,1,1,PT,0,literature,,,,,,,,
1,2,2,2,3,2,2,2,4,4,4,2,2,2,2,3,4,3,3,5,4,4,4,3,5,4,4,4,4,3,4,3,2,3,2,3,2,3,3,3,2,2,2,3,2,2,3,3,80,170,216,3,3,5,5,4,6,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,2,21,1,1,2,1,2,1,2,1,MY,1,,,,,,,,,
3,1,1,2,1,2,2,1,5,3,5,5,5,1,5,1,2,1,1,1,1,2,1,1,3,5,5,2,5,2,5,5,1,3,1,2,4,2,1,2,4,4,5,4,5,3,4,5,6,299,204,5,4,7,1,6,1,7,2,4,4,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,3,3,2,2,24,1,4,1,5,1,2,2,1,US,1,Public,Health,,,,,,,
1,1,2,1,1,1,1,1,4,3,1,4,1,4,1,4,1,3,5,2,4,3,5,4,3,5,4,5,4,5,3,4,3,4,2,5,3,4,1,4,1,2,1,1,1,1,1,1,64,225,177,5,6,7,5,6,6,7,1,6,4,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,2,1,2,1,17,1,7,1,4,2,1,2,1,US,2,,,,,,,,,
1,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,1,1,1,1,1,1,3,1,3,3,5,2,3,3,2,3,2,2,1,1,2,1,1,1,1,1,1,1,3,3,1,1,945,166,11,5,4,7,2,6,2,6,1,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,31,1,6,1,4,2,2,2,1,US,1,,,,,,,,,
3,1,1,2,1,1,1,1,3,0,5,5,4,4,5,5,5,3,5,3,5,3,4,3,3,5,5,4,5,5,5,3,4,1,5,4,5,2,5,2,5,5,5,5,5,5,5,5,16,1123,74998,7,1,7,7,7,7,5,7,6,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1,2,2,15,1,10,0,1,2,1,0,1,MY,0,civil,engineering,,,,,,,
1,1,1,1,1,1,1,1,4,2,3,2,3,2,2,2,4,5,5,4,5,4,1,5,2,4,3,4,4,3,4,3,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,12,107,111,3,5,2,7,5,6,5,6,2,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,3,1,2,1,21,1,1,3,4,1,1,2,1,GB,2,Graphic,Design,,,,,,,
3,1,2,2,2,2,2,2,4,2,2,2,2,3,2,2,3,2,3,3,3,3,3,3,5,5,2,3,4,3,3,1,3,2,3,2,4,2,4,2,3,3,2,3,3,2,4,3,8,303,198,6,1,6,3,7,5,6,1,6,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,2,1,39,1,1,3,4,1,1,4,1,US,1,Social,Work,,,,,,,
3,4,1,2,1,3,3,4,3,3,1,1,1,1,2,2,3,3,5,1,1,5,2,4,1,3,3,3,3,3,3,4,3,3,3,3,1,5,2,3,3,3,1,3,1,3,1,1,5,361,332,7,6,4,5,2,1,5,5,4,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,1,2,2,21,1,10,1,5,2,1,8,1,MY,0,art,,,,,,,,
3,5,1,3,1,5,1,5,4,5,5,1,1,4,1,5,5,2,5,3,3,5,1,5,3,1,1,5,4,3,3,3,5,4,4,3,5,4,5,2,2,4,4,4,5,5,3,4,237,299,241,6,2,7,4,6,3,7,1,7,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,3,2,2,1,44,1,4,1,4,2,3,2,1,US,2,geography/GIS,,,,,,,,
5,3,1,1,1,1,2,2,4,4,4,2,4,4,4,2,2,1,1,1,1,4,2,1,1,3,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,4,2,4,4,3,4,5,9,152,122,1,7,5,2,7,7,2,2,7,7,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,1,1,1,20,1,1,1,4,1,1,2,1,GB,0,Sociology,,,,,,,,
4,4,4,4,3,5,4,1,5,5,5,5,5,5,5,1,3,4,2,5,5,5,2,3,2,3,2,5,4,4,4,4,1,3,2,1,4,2,1,3,4,4,4,4,3,5,3,3,3,238,263,6,6,5,7,6,6,5,6,2,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,4,2,1,2,35,1,1,2,5,1,1,1,1,FI,0,institute,kitchen,services,,,,,,
1,1,1,1,1,1,1,1,2,4,3,1,1,3,1,1,1,1,2,1,1,4,1,1,2,3,4,1,4,1,3,2,3,3,2,1,4,1,1,1,4,3,4,4,4,3,3,3,27,297,163,4,6,7,5,3,4,5,2,1,6,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,2,2,1,32,1,7,3,4,2,2,2,1,US,0,Culinary,,,,,,,,
3,2,1,2,3,3,2,2,4,3,3,2,3,4,3,2,2,2,2,2,2,3,2,3,4,3,3,3,4,3,4,4,2,2,3,3,3,3,3,4,2,3,3,3,2,2,2,3,13,213,234,3,3,5,1,6,5,6,1,6,3,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,3,2,2,1,40,1,1,2,4,1,2,3,1,US,1,Business,,,,,,,,
2,3,3,5,4,5,3,4,3,4,3,4,5,3,3,1,1,1,1,1,1,1,5,1,3,1,1,5,1,5,3,1,2,1,3,1,5,1,3,1,5,1,3,3,5,5,4,4,6,211,125,7,4,5,2,7,1,1,7,4,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,1,15,1,4,1,4,2,1,2,1,CA,0,,,,,,,,,
3,5,2,5,5,5,3,5,5,3,2,5,5,2,5,2,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,4,5,5,5,5,5,1,5,5,5,5,5,5,5,4,2,103,171,7,6,7,1,7,2,5,1,5,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,4,3,2,1,27,1,7,1,3,1,3,5,2,US,0,,,,,,,,,
1,1,1,2,2,1,1,1,1,1,1,2,5,1,1,2,5,5,3,5,5,5,3,5,4,4,4,1,5,5,5,3,5,5,5,3,5,5,5,5,5,3,4,5,5,5,5,4,3,217,504,5,4,5,5,7,3,5,2,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,13,1,4,1,3,2,1,1,1,JM,1,logistics,or,economics,,,,,,
5,3,3,3,3,4,3,3,4,4,5,4,4,4,3,5,4,4,5,5,5,5,5,4,3,5,4,3,5,4,4,4,4,1,3,3,4,3,3,4,2,4,3,3,3,2,3,3,2,311,182,5,3,6,2,6,4,6,5,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,1,1,24,1,0,1,4,2,2,4,1,US,1,,,,,,,,,
1,2,1,1,1,3,2,1,3,2,3,2,2,1,1,2,4,4,5,5,5,5,3,5,2,4,1,2,2,1,4,3,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,21,106,145,5,1,7,6,7,3,7,2,7,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,4,2,2,1,48,1,12,5,5,1,1,1,1,CA,0,,,,,,,,,
3,1,1,3,1,3,2,2,1,4,3,2,1,4,2,2,5,5,5,5,5,5,5,5,3,3,4,4,4,3,3,3,2,1,2,2,3,1,3,5,1,3,3,1,2,3,2,3,629,1087,238,5,3,5,4,5,3,6,3,6,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,28,1,4,1,4,2,1,2,1,US,0,,,,,,,,,
2,2,2,2,2,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,4,4,2,4,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,103,134,2,2,5,7,3,6,5,3,3,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,2,3,2,2,18,1,1,1,4,2,1,1,1,CL,2,,,,,,,,,
1,1,1,1,1,1,1,1,3,3,2,1,1,2,1,1,2,5,4,3,3,3,5,3,4,1,5,4,5,3,3,2,3,3,1,1,3,3,1,3,1,2,1,1,1,1,1,1,15,204,186,7,4,7,5,6,2,5,2,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,3,2,2,16,1,4,1,5,2,1,2,2,US,2,,,,,,,,,
3,3,2,2,4,2,4,2,4,5,2,2,3,3,3,2,3,4,3,2,4,3,2,2,5,4,3,4,4,4,4,3,2,3,2,4,2,3,2,3,4,4,4,3,2,4,2,4,20,194,116,5,3,7,5,4,5,6,2,5,4,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,3,3,2,1,41,1,6,1,4,2,2,2,1,US,1,psychology,,,,,,,,
1,4,1,1,1,1,1,4,4,3,1,5,1,1,4,1,5,2,3,5,3,5,1,1,3,3,3,3,2,5,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,3,3,162,113,6,1,7,6,4,7,7,4,4,7,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,2,1,2,1,20,1,0,0,0,2,1,5,1,US,1,Nursing,,,,,,,,
2,1,1,1,1,1,1,1,4,2,3,2,2,1,2,3,3,4,4,3,5,3,3,3,4,5,4,4,3,2,4,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,4,145,122,3,3,5,7,6,6,5,7,1,2,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,2,3,2,2,25,1,1,2,4,1,1,6,1,PL,2,anthropology,,,,,,,,
3,2,1,1,2,1,2,2,4,4,2,1,4,1,4,1,3,1,2,1,1,3,2,1,4,3,1,1,4,2,2,4,1,3,3,3,4,3,2,4,4,3,4,4,4,4,4,4,74,312,426,2,5,7,5,3,7,7,7,7,4,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,42,1,4,1,4,1,3,2,1,AU,2,,,,,,,,,
5,3,3,1,1,5,5,5,5,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,5,5,5,1,5,5,1,5,1,5,1,5,5,5,3,5,1,3,1,3,1,5,1,3,11,1324,6,7,6,4,6,7,3,6,7,3,7,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,4,3,1,2,23,1,10,1,2,1,1,2,1,MA,0,Electronique,,,,,,,,
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,5,5,3,3,3,2,2,3,1,2,3,1,3,1,2,1,1,1,1,1,1,1,1,1,13,103,105,5,4,3,5,6,2,6,5,4,5,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,4,3,2,1,29,1,6,1,3,2,1,3,1,US,1,Social,Work,,,,,,,
1,2,1,3,2,3,2,3,3,3,3,3,3,2,3,3,1,2,2,3,4,3,3,2,2,4,4,3,3,4,3,2,2,2,4,2,5,3,4,2,2,3,3,2,2,3,3,2,9,268,208,3,5,7,5,7,6,7,4,6,2,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,2,2,1,1,31,1,11,1,4,2,1,2,1,US,0,,,,,,,,,
2,1,3,3,2,1,2,2,3,5,5,4,5,5,5,5,3,4,5,4,5,5,3,5,4,3,5,4,4,4,4,2,3,2,4,1,4,3,3,1,3,3,4,3,4,3,3,3,30,262,150,4,5,6,4,7,7,5,2,5,6,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,3,2,1,2,24,2,1,1,1,2,1,2,1,PH,0,Psychology,,,,,,,,
3,1,1,1,1,1,3,1,4,4,1,4,2,1,2,1,1,3,5,5,4,2,2,4,5,2,5,3,5,5,5,5,4,4,4,5,4,4,5,3,5,4,5,5,4,4,5,4,10,251,263,4,5,7,4,5,7,7,1,7,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,2,1,28,1,7,1,4,2,1,3,1,US,0,IT,,,,,,,,
5,4,1,4,2,4,4,2,4,2,1,4,1,2,2,4,4,2,4,4,4,4,4,4,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,4,2,2,2,14,275,246,2,5,7,5,3,6,5,5,6,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,3,2,1,44,3,7,1,4,2,2,3,1,US,1,nursing,health,physics,graphics,,,,,
3,1,1,2,3,3,1,1,2,1,2,2,2,1,1,1,5,1,4,4,3,4,2,3,4,3,4,2,3,3,2,3,2,2,3,4,3,4,2,3,1,4,3,3,1,1,2,1,6,198,312,4,5,3,6,6,5,5,5,4,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,3,2,2,18,1,10,1,1,2,1,6,1,MY,0,-,,,,,,,,
3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,5,4,4,4,4,3,3,3,4,5,4,3,4,3,4,3,3,4,2,5,2,3,3,3,2,3,2,3,30,244,214,4,3,4,5,5,6,6,4,5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,2,2,2,32,1,10,5,1,1,1,4,1,MY,0,Business,admin,,,,,,,
3,3,4,4,3,3,4,3,4,4,4,3,4,3,3,3,1,1,2,2,2,2,4,3,3,3,3,4,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,4,3,3,9,474,325,6,6,6,2,5,2,5,3,6,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,2,2,1,1,21,1,6,1,4,2,1,2,1,US,0,,,,,,,,,
4,1,1,3,2,4,2,2,1,5,5,1,2,5,2,5,4,1,5,4,4,5,2,4,1,4,2,1,4,1,2,1,1,1,5,1,4,2,4,4,4,3,3,4,5,2,4,4,2286,188,155,1,2,7,3,6,7,7,1,6,2,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,3,1,1,1,27,2,1,1,4,1,1,2,1,NZ,2,Management,,,,,,,,
1,1,1,1,1,2,2,1,4,3,3,3,3,3,4,3,4,4,2,2,3,3,4,3,2,2,1,1,3,3,2,1,1,3,2,1,2,2,1,2,2,2,1,1,2,3,3,1,8,161,112,6,3,5,2,6,5,6,2,6,3,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,2,2,2,1,17,1,6,1,4,2,1,2,1,US,1,,,,,,,,,
1,1,1,1,1,1,1,1,5,1,1,4,4,1,4,1,3,1,2,2,3,4,1,1,2,1,3,2,4,5,5,5,1,1,1,3,1,1,1,3,3,3,3,3,4,3,1,1,6,216,206,4,1,7,1,7,5,7,1,6,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,53,1,6,1,4,1,2,3,1,US,2,Nursing,,,,,,,,
4,1,2,4,2,1,3,0,4,4,5,5,5,4,5,1,3,2,2,3,2,3,2,4,3,3,2,1,3,1,1,1,2,1,2,1,2,1,2,1,4,4,3,3,5,4,2,3,3,179,91,1,3,5,4,5,7,1,3,4,4,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,2,2,2,1,18,2,1,4,1,2,1,1,1,US,2,,,,,,,,,
5,2,4,1,1,4,1,3,4,4,4,5,3,4,4,4,4,4,4,5,5,5,5,2,4,4,4,5,4,3,5,2,5,4,5,5,5,4,5,5,2,2,4,1,4,1,2,2,11,158,197,6,3,6,3,7,2,6,4,5,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2,2,1,1,50,1,4,3,4,1,2,4,1,US,1,,,,,,,,,
